max_layers_per_block,raw_layer_count,merged_blocks,num_states,best_sub_batch,state_batches,latency,energy,edp,sct_solver,met_solver
12,471,40,79,32,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",379375000000.000000,57.943200,21982201500000.000000,ortools-scip,ortools-scip
16,471,30,59,32,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",546887500000.000000,56.780700,31052655071249.996094,ortools-scip,ortools-scip
24,471,20,39,32,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",869512500000.000000,61.813200,53747350064999.992188,ortools-scip,ortools-scip
32,471,15,29,32,"1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1",1324375000000.000000,72.478200,95988316125000.000000,ortools-scip,ortools-scip
