mode,input_blocks,scheduled_blocks,num_states,best_sub_batch,state_batches,latency,energy,edp,sct_solver,met_solver
stage_level,8,8,15,32,"1,1,1,1,0,0,0,0,1,1,1,1,0,0,0",4.480621,0.654470,2.932432,ortools-scip,ortools-scip
layer_level,471,30,59,32,"1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",4.044573,0.716566,2.898202,ortools-scip,ortools-scip
