max_layers_per_block,raw_layer_count,merged_blocks,num_states,best_sub_batch,state_batches,latency,energy,edp,sct_solver,met_solver
16,471,30,59,32,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0",2233255813963.156250,51749.000000,115568755116779376.000000,ortools-scip,ortools-scip
24,471,20,39,32,"0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0",2233255813963.507812,51759.800000,115592874279588384.000000,ortools-scip,ortools-scip
12,471,40,79,32,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0",2233255813963.664062,51764.600000,115603593907503504.000000,ortools-scip,ortools-scip
32,471,15,29,32,"0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0",2233255813967.075195,51869.375000,115837583285588480.000000,ortools-scip,ortools-scip
