layer_id,batch,tiles,status,cycles,energy_pj,mac_pj,buffer_pj,bus_pj,ubuf_pj,K,B,H,W
0,1,1,ok,307328,58895249.022399999,2124251.1359999999,55206008.211199999,0,1564989.6752000002,1,1,1,1
0,1,2,ok,153664,58910477.987199999,2124251.1359999999,55213094.182399996,0,1573132.6688000001,1,1,2,1
0,1,3,ok,104272,59981338.069800004,2162184.1919999998,56206568.560800008,0,1612585.317,1,1,1,3
0,1,4,ok,76832,58971880.239999995,2124251.1359999999,55254670.015999995,0,1592959.0880000002,1,1,2,2
0,1,5,ok,63112,60550213.559499986,2181150.7199999997,56730037.021999992,0,1639025.8175000001,1,1,1,5
0,1,6,ok,52136,60034920.061200008,2162184.1919999998,56232212.750400007,0,1640523.1188000001,1,1,2,3
0,1,7,ok,43904,59029056.184000008,2124251.1359999999,55287416.979200006,0,1617388.0688,1,1,1,7
0,1,8,ok,38416,59082735.409599997,2124251.1359999999,55331182.995200001,0,1627301.2784000002,1,1,1,8
0,1,9,ok,35672,61651464.153299987,2219083.7759999996,57726058.942799993,0,1706321.4345000002,1,1,1,9
0,1,10,ok,31556,60654094.543000005,2181150.7199999997,56787750.140000001,0,1685193.6830000002,2,1,1,5
0,1,11,ok,30184,63830605.276899993,2294949.8879999998,59754221.978,0,1781433.4109,1,1,1,11
0,1,12,ok,26068,60150060.448800012,2162184.1919999998,56296181.251200005,0,1691695.0055999998,2,1,2,3
0,1,13,ok,24696,61820224.857299991,2219083.7759999996,57855166.80839999,0,1745974.2729,1,1,1,13
0,1,14,ok,21952,59130227.228800006,2124251.1359999999,55343624.537600003,0,1662351.5552000003,2,1,1,7
0,1,15,ok,22344,61980985.121999994,2220099.8399999999,57972867.023999996,0,1788018.2580000001,1,1,5,3
0,1,16,ok,19208,59183906.454399996,2124251.1359999999,55387390.553599998,0,1672264.7648,2,1,1,8
0,2,1,ok,614656,117771285.96799999,4248502.2719999999,110402717.5552,0,3120066.1408000002,1,1,1,1
0,2,2,ok,307328,117782531.82080001,4248502.2719999999,110407590.6304,0,3126438.9184000003,1,1,2,1
0,2,3,ok,208544,119905039.9092,4324368.3839999996,112385240.52000001,0,3195431.0052000005,1,1,1,3
0,2,4,ok,153664,117820955.9744,4248502.2719999999,110426188.36479999,0,3146265.3376000002,1,2,2,1
0,2,5,ok,126224,121004366.735,4362301.4399999995,113413579.70799999,0,3228485.5870000003,1,1,1,5
0,2,6,ok,104272,119954567.66159999,4324368.3839999996,112408632.2976,0,3221566.9799999995,1,1,2,3
0,2,7,ok,87808,117923627.83040002,4248502.2719999999,110509741.888,0,3165383.6704000002,1,1,1,7
0,2,8,ok,76832,117943760.47999999,4248502.2719999999,110509340.03199999,0,3185918.1760000004,1,2,2,2
0,2,9,ok,71344,123130019.6154,4438167.5519999992,115368428.0808,0,3323423.9826000002,1,1,1,9
0,2,10,ok,63112,121100427.11899997,4362301.4399999995,113460074.04399998,0,3278051.6350000002,1,2,1,5
0,2,11,ok,60368,127449877.70899999,4589899.7759999996,119406156.41679999,0,3453821.5162,1,1,1,11
0,2,12,ok,52136,120069840.12240002,4324368.3839999996,112464425.50080001,0,3281046.2376000001,1,2,2,3
0,2,13,ok,49392,123390692.71620001,4438167.5519999992,115589448.3432,0,3363076.821,1,1,1,13
0,2,14,ok,43904,118058112.36800002,4248502.2719999999,110574833.95840001,0,3234776.1376,1,2,1,7
0,2,15,ok,44688,123673789.09200001,4440199.6799999997,115806251.04000001,0,3427338.3720000004,1,1,5,3
0,2,16,ok,38416,118165470.81919999,4248502.2719999999,110662365.9904,0,3254602.5568000004,1,2,1,8
0,4,1,ok,1229312,235523359.8592,8497004.5439999998,220796136.2432,0,6230219.0720000006,1,1,1,1
0,4,2,ok,614656,235526639.48800001,8497004.5439999998,220796583.5264,0,6233051.4176000003,1,1,2,1
0,4,3,ok,417088,239734519.58400005,8648736.7679999992,224732626.40640002,0,6353156.4095999999,1,1,3,1
0,4,4,ok,307328,235533198.74559999,8497004.5439999998,220797478.09279999,0,6238716.1088000005,1,1,4,1
0,4,5,ok,252448,241863595.45599997,8724602.879999999,226753399.03999999,0,6385593.5360000003,1,1,1,5
0,4,6,ok,208544,239765495.42399999,8648736.7679999992,224776347.80160004,0,6340410.8543999996,1,1,1,6
0,4,7,ok,175616,235584550.43200001,8497004.5439999998,220847413.60640001,0,6240132.2816000003,1,1,1,7
0,4,8,ok,153664,235546317.2608,8497004.5439999998,220799267.2256,0,6250045.4912,1,1,1,8
0,4,9,ok,141512,244218366.20159996,8803178.4959999993,228889633.88159999,0,6525553.824,1,1,3,3
0,4,10,ok,126224,241959655.83999997,8724602.879999999,226799893.37599999,0,6435159.5840000007,1,1,2,5
0,4,11,ok,120736,254510404.82559997,9179799.5519999992,238554957.13279995,0,6775648.1408000002,1,1,1,11
0,4,12,ok,104272,239876701.41120002,8648736.7679999992,224799245.29920003,0,6428719.3439999996,1,1,4,3
0,4,13,ok,98784,246182981.99039999,8876335.1039999984,230731555.89119998,0,6575090.9951999998,1,1,1,13
0,4,14,ok,87808,235799458.3168,8497004.5439999998,220992929.02399999,0,6309524.7488000002,1,1,2,7
0,4,15,ok,85652,246471471.204,8880399.3599999994,230993202.86399999,0,6597868.9800000004,1,1,3,5
0,4,16,ok,76832,235791926.27200001,8497004.5439999998,220965570.56,0,6329351.1680000005,1,1,2,8
0,8,1,ok,2458624,471027507.64160001,16994009.088,441582973.61919999,0,12450524.934400002,1,1,1,1
0,8,2,ok,1229312,471014854.82239997,16994009.088,441574569.31839997,0,12446276.416000001,1,1,2,1
0,8,3,ok,834176,479411402.93760014,17297473.535999998,449437356.21120012,0,12676573.190400001,1,1,3,1
0,8,4,ok,614656,470989549.18400002,16994009.088,441557760.71680003,0,12437779.3792,1,1,4,1
0,8,5,ok,504896,483631130.52799994,17449205.759999998,453460303.74399996,0,12721621.024000002,1,1,1,5
0,8,6,ok,417088,479415718.38720006,17297473.535999998,449496902.40000004,0,12621342.451199999,1,1,1,6
0,8,7,ok,351232,471034616.32639998,16994009.088,441629735.14239997,0,12410872.096000001,1,1,1,7
0,8,8,ok,307328,470938937.90719998,16994009.088,441524143.51359999,0,12420785.305600001,1,1,1,8
0,8,9,ok,283024,488263823.71199995,17606356.991999999,457695577.95839995,0,12961888.761599999,1,1,3,3
0,8,10,ok,252448,483727190.91199994,17449205.759999998,453506798.07999998,0,12771187.072000001,1,2,1,5
0,8,11,ok,241472,508809476.8064,18359599.103999998,477007626.72640002,0,13442250.976000002,1,1,1,11
0,8,12,ok,208544,479522857.90079999,17297473.535999998,449486904.19200003,0,12738480.172800001,1,1,4,3
0,8,13,ok,197568,492116206.98239994,17752670.207999997,461342226.50879991,0,13021310.2656,1,1,1,13
0,8,14,ok,175616,471169100.86400002,16994009.088,441694827.21280003,0,12480264.563200001,1,2,1,7
0,8,15,ok,171304,492654761.25599998,17760798.719999999,461846922.72000003,0,13047039.816000002,1,1,3,5
0,8,16,ok,153664,471092634.52160001,16994009.088,441598534.45120001,0,12500090.9824,1,2,1,8
0,16,1,ok,4917248,942035803.20639992,33988018.175999999,883156648.37119997,0,24891136.659200002,1,1,1,1
0,16,2,ok,2458624,941991285.49119997,33988018.175999999,883130540.90240002,0,24872726.412800003,1,1,2,1
0,16,3,ok,1668352,958765169.64480007,34594947.071999997,898846815.82080007,0,25323406.752000004,1,1,3,1
0,16,4,ok,1229312,941902250.06079996,33988018.175999999,883078325.9648,0,24835905.920000002,1,1,4,1
0,16,5,ok,1009792,967166200.67199993,34898411.519999996,906874113.15199995,0,25393676.000000007,1,1,1,5
0,16,6,ok,834176,958716164.31360018,34594947.071999997,898938011.59680009,0,25183205.6448,1,1,1,6
0,16,7,ok,702464,941934748.11520004,33988018.175999999,883194378.21440005,0,24752351.724800006,1,1,1,7
0,16,8,ok,614656,941724179.19999993,33988018.175999999,882973896.08959997,0,24762264.934400003,1,1,1,8
