max_layers_per_block,raw_layer_count,merged_blocks,num_states,best_sub_batch,state_batches,latency,energy,edp,sct_solver,met_solver
24,471,20,39,32,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",3489909171838.937012,50.583460,176531681236095.656250,ortools-scip,ortools-scip
32,471,15,29,32,"0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",3041706319529.021973,65.432715,199027102401800.281250,ortools-scip,ortools-scip
16,471,30,59,32,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",6145538411459.066406,37.434748,230056684602028.875000,ortools-scip,ortools-scip
12,471,40,79,32,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",8349918759267.601562,30.957681,258494117877402.968750,ortools-scip,ortools-scip
