max_layers_per_block,raw_layer_count,merged_blocks,num_states,best_sub_batch,state_batches,latency,energy,edp,sct_solver,met_solver
12,471,40,79,32,"1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1",285750000000.000000,22.935600,6553847699999.999023,ortools-scip,ortools-scip
16,471,30,59,32,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1",502775000000.000000,49.573900,24924517572499.996094,ortools-scip,ortools-scip
24,471,20,39,32,"0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0",1020075000000.000000,62.563200,63819156240000.000000,ortools-scip,ortools-scip
32,471,15,29,32,"0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1",1137000000000.000000,57.498800,65376135599999.992188,ortools-scip,ortools-scip
