network,mode,source_ref,batch_size,num_pes,timeout_sec,max_layers_per_block,hierarchical,hierarchy_depth,hierarchy_iters,hierarchy_theta,input_blocks,scheduled_blocks,num_states,best_sub_batch,latency,energy,edp,sct_solver,met_solver,hierarchy_note_count,ok,status,error
alexnet,stage_level,src/nns/alexnet.cpp,64,16,120,32,True,2,2,0.02,9,1,1,32,0.015344,0.010312,0.000158,ortools-scip,ortools-scip,4,True,ok,
alexnet,layer_level,src/nns/alexnet.cpp,64,16,120,32,True,2,2,0.02,19,1,1,32,0.011508,0.012369,0.000142,ortools-scip,ortools-scip,7,True,ok,
darknet19,stage_level,src/nns/darknet19.cpp,64,16,120,32,True,2,2,0.02,2,1,1,32,0.014035,0.015256,0.000214,ortools-scip,ortools-scip,7,True,ok,
darknet19,layer_level,src/nns/darknet19.cpp,64,16,120,32,True,2,2,0.02,25,1,1,32,0.013942,0.015081,0.000210,ortools-scip,ortools-scip,7,True,ok,
densenet,stage_level,src/nns/densenet.cpp,64,16,120,32,True,2,2,0.02,9,6,11,8,0.069694,0.047312,0.003297,ortools-scip,ortools-scip,9,True,ok,
densenet,layer_level,src/nns/densenet.cpp,64,16,120,32,True,2,2,0.02,126,4,7,32,0.064998,0.046372,0.003014,ortools-scip,ortools-scip,12,True,ok,
gnmt,stage_level,src/nns/gnmt.cpp,128,16,120,32,True,2,2,0.02,4,3,5,32,0.004183,0.004067,0.000017,ortools-scip,ortools-scip,5,True,ok,
gnmt,layer_level,src/nns/gnmt.cpp,128,16,120,32,True,2,2,0.02,82,3,5,32,0.128653,0.101227,0.013023,ortools-scip,ortools-scip,10,True,ok,
googlenet,stage_level,src/nns/googlenet.cpp,64,16,120,32,True,2,2,0.02,5,3,5,16,0.033278,0.035511,0.001182,ortools-scip,ortools-scip,10,True,ok,
googlenet,layer_level,src/nns/googlenet.cpp,64,16,120,32,True,2,2,0.02,72,3,5,32,0.045545,0.034076,0.001552,ortools-scip,ortools-scip,10,True,ok,
incep_resnet,stage_level,src/nns/incep_resnet.cpp,64,16,120,32,True,2,2,0.02,7,7,13,8,0.007999,0.009436,0.000075,ortools-scip,ortools-scip,10,True,ok,
incep_resnet,layer_level,src/nns/incep_resnet.cpp,64,16,120,32,True,2,2,0.02,153,5,9,32,0.039371,0.027937,0.001100,ortools-scip,ortools-scip,14,True,ok,
llm,stage_level,src/nns/llm.cpp,128,16,120,32,True,2,2,0.02,3,3,5,32,0.216010,0.143051,0.030900,ortools-scip,ortools-scip,4,True,ok,
llm,layer_level,src/nns/llm.cpp,128,16,120,32,True,2,2,0.02,44,2,3,32,0.286888,0.246481,0.070713,ortools-scip,ortools-scip,8,True,ok,
pnasnet,stage_level,src/nns/pnasnet.cpp,64,16,120,32,True,2,2,0.02,5,5,9,8,0.005542,0.002615,0.000014,ortools-scip,ortools-scip,7,True,ok,
pnasnet,layer_level,src/nns/pnasnet.cpp,64,16,120,32,True,2,2,0.02,603,19,37,32,0.217992,0.140884,0.030712,ortools-scip,ortools-scip,42,True,ok,
resnet,stage_level,src/nns/resnet.cpp,64,16,120,32,True,2,2,0.02,6,3,5,32,0.032877,0.023952,0.000787,ortools-scip,ortools-scip,10,True,ok,
resnet,layer_level,src/nns/resnet.cpp,64,16,120,32,True,2,2,0.02,72,3,5,32,0.052267,0.039316,0.002055,ortools-scip,ortools-scip,10,True,ok,
transformer,stage_level,src/nns/transformer.cpp,128,16,120,32,True,2,2,0.02,5,5,9,16,0.011814,0.006527,0.000077,ortools-scip,ortools-scip,5,True,ok,
transformer,layer_level,src/nns/transformer.cpp,128,16,120,32,True,2,2,0.02,471,15,29,8,0.083731,0.081801,0.006849,ortools-scip,ortools-scip,34,True,ok,
vgg,stage_level,src/nns/vgg.cpp,64,16,120,32,True,2,2,0.02,2,1,1,32,0.018259,0.020297,0.000371,ortools-scip,ortools-scip,4,True,ok,
vgg,layer_level,src/nns/vgg.cpp,64,16,120,32,True,2,2,0.02,21,1,1,32,0.017562,0.018987,0.000333,ortools-scip,ortools-scip,7,True,ok,
zfnet,stage_level,src/nns/zfnet.cpp,64,16,120,32,True,2,2,0.02,2,1,1,32,0.010476,0.011258,0.000118,ortools-scip,ortools-scip,7,True,ok,
zfnet,layer_level,src/nns/zfnet.cpp,64,16,120,32,True,2,2,0.02,11,1,1,32,0.010476,0.011258,0.000118,ortools-scip,ortools-scip,7,True,ok,
