mode,max_layers_per_block,input_blocks,scheduled_blocks,num_states,best_sub_batch,latency,energy,edp,sct_solver,met_solver
stage_level,4,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,8,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,12,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,16,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,24,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,32,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,48,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
stage_level,64,5,5,9,32,342588308626.727783,257.609684,88254066042023.109375,ortools-scip,ortools-scip
layer_level,32,471,15,29,32,673160542221.443604,10.718093,7214997018666.963867,ortools-scip,ortools-scip
layer_level,24,471,20,39,32,676220991112.545044,10.781157,7290444638666.936523,ortools-scip,ortools-scip
layer_level,16,471,30,59,32,680612943937.649414,10.842351,7379444403988.729492,ortools-scip,ortools-scip
layer_level,8,471,59,117,32,679662082517.658447,378.996415,257589492407241.406250,ortools-scip,ortools-scip
layer_level,64,471,8,15,32,645500857229.772339,451.413814,291388003591893.687500,ortools-scip,ortools-scip
layer_level,12,471,40,79,32,679418454183.771851,532.642514,361887153659150.125000,ortools-scip,ortools-scip
layer_level,48,471,10,19,32,665293113214.330200,1975.250254,1314120390753586.000000,ortools-scip,ortools-scip
layer_level,4,471,118,235,32,682881545345.941895,24068.441769,16435894709187410.000000,ortools-scip,ortools-scip
