network,source_ref,batch_size,best_sub_batch,num_blocks,num_states,state_order,state_batches,active_states,latency,energy,edp,detail_file
alexnet,src/nns/alexnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,10588235294.117647,253.980000,2689200000000.000488,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\alexnet.txt
darknet19,src/nns/darknet19.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,16784313725.490198,307.700000,5164533333333.334961,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\darknet19.txt
densenet,src/nns/densenet.cpp,64,32,4,7,S0 -> S1 -> S2 -> S3 -> S4 -> S5 -> S6,"0,0,0,2,0,0,0",1,12674418604.651163,630.800000,7995023255813.954102,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\densenet.txt
gnmt,src/nns/gnmt.cpp,128,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,4,0,0",1,68078431372.549026,1455.200000,99067733333333.343750,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\gnmt.txt
googlenet,src/nns/googlenet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,24313725490.196079,350.200000,8514666666666.667969,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\googlenet.txt
incep_resnet,src/nns/incep_resnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,36078431372.549019,361.760000,13051733333333.333984,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\incep_resnet.txt
llm,src/nns/llm.cpp,128,32,4,7,S0 -> S1 -> S2 -> S3 -> S4 -> S5 -> S6,"0,0,0,4,0,0,0",1,149302325581.395355,3617.600000,540116093023255.875000,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\llm.txt
pnasnet,src/nns/pnasnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,24941176470.588238,306.000000,7632000000000.001953,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\pnasnet.txt
resnet,src/nns/resnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,40156862745.098045,401.880000,16138240000000.003906,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\resnet.txt
transformer,src/nns/transformer.cpp,128,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,4,0,0",1,106352941176.470596,2040.000000,216960000000000.031250,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\transformer.txt
vgg,src/nns/vgg.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,20705882352.941177,387.600000,8025600000000.000977,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\vgg.txt
zfnet,src/nns/zfnet.cpp,64,32,3,5,S0 -> S1 -> S2 -> S3 -> S4,"0,0,2,0,0",1,9568627450.980392,231.200000,2212266666666.666992,C:\Users\Happend Outerwall\OneDrive\南京大学在线\Crane\outputs\runs\official_nns_details_20260306_222046\zfnet.txt
