network=transformer_official_same_source
source_ref=src/nns/transformer.cpp
mode=stage_level
input_blocks=8
scheduled_blocks=66
num_states=131
best_sub_batch=128
sct_solver=ortools-scip
met_solver=ortools-scip
compute_latency=0.041845
compute_energy=0.023764
memory_latency=0.250233
memory_energy=0.035703
latency=0.250233
energy=0.059467
edp=0.014881

states
  idx=0 name=S0 category=warmup active_pe=1 assigned_sub_batches=1 active_blocks=[0]
  idx=1 name=S1 category=warmup active_pe=2 assigned_sub_batches=0 active_blocks=[0, 1]
  idx=2 name=S2 category=warmup active_pe=3 assigned_sub_batches=0 active_blocks=[0, 1, 2]
  idx=3 name=S3 category=warmup active_pe=4 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3]
  idx=29 name=S29 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 27, 28, 29]
  idx=30 name=S30 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 28, 29, 30]
  idx=31 name=S31 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 29, 30, 31]
  idx=32 name=S32 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 30, 31, 32]
  idx=33 name=S33 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 31, 32, 33]
  idx=34 name=S34 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 32, 33, 34]
  idx=35 name=S35 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 33, 34, 35]
  idx=36 name=S36 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 34, 35, 36]
  idx=37 name=S37 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 35, 36, 37]
  idx=38 name=S38 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 36, 37, 38]
  idx=39 name=S39 category=warmup active_pe=16 assigned_sub_batches=0 active_blocks=[0, 1, 2, 3, '...', 37, 38, 39]
